dt;Posicion;V RK2;Energia
0,00;12,50;0,88;0,00
0,01;12,50;1,77;207,47
0,02;12,50;2,64;208,26
0,03;12,49;3,52;209,02
0,04;12,49;4,38;209,73
0,05;12,49;5,23;210,39
0,06;12,48;6,06;211,00
0,07;12,48;6,88;211,55
0,08;12,48;7,68;212,02
0,09;12,47;8,46;212,43
0,10;12,47;9,22;212,76
0,11;12,47;9,95;213,01
0,12;12,46;10,64;213,17
0,13;12,46;11,31;213,26
0,14;12,46;11,95;213,25
0,15;12,46;12,55;213,16
0,16;12,46;13,12;212,98
0,17;12,46;13,64;212,72
0,18;12,46;14,13;212,38
0,19;12,47;14,58;211,95
0,20;12,47;14,98;211,45
0,21;12,48;15,34;210,88
0,22;12,49;15,65;210,25
0,23;12,50;15,92;209,55
0,24;12,51;16,14;208,80
0,25;12,53;16,32;208,00
0,26;12,54;16,44;207,17
0,27;12,56;16,52;206,30
0,28;12,58;16,55;205,41
0,29;12,60;16,53;204,51
0,30;12,62;16,46;203,61
0,31;12,65;16,34;202,71
0,32;12,67;16,18;201,82
0,33;12,70;15,96;200,96
0,34;12,72;15,71;200,12
0,35;12,75;15,40;199,33
0,36;12,78;15,05;198,58
0,37;12,80;14,66;197,89
0,38;12,83;14,22;197,26
0,39;12,86;13,75;196,70
0,40;12,88;13,23;196,21
0,41;12,90;12,68;195,80
0,42;12,93;12,09;195,48
0,43;12,95;11,48;195,24
0,44;12,96;10,83;195,09
0,45;12,98;10,16;195,03
0,46;12,99;9,46;195,06
0,47;13,00;8,75;195,18
0,48;13,01;8,03;195,39
0,49;13,01;7,30;195,69
0,50;13,01;6,58;196,08
0,51;13,00;5,88;196,55
0,52;12,99;5,21;197,10
0,53;12,98;4,60;197,72
0,54;12,96;4,09;198,40
0,55;12,94;3,74;199,15
0,56;12,91;3,58;199,96
0,57;12,88;3,64;200,81
0,58;12,84;3,93;201,71
0,59;12,80;4,39;202,64
0,60;12,75;4,97;203,59
0,61;12,70;5,63;204,57
0,62;12,65;6,34;205,56
0,63;12,59;7,07;206,55
0,64;12,52;7,82;207,54
0,65;12,46;8,57;208,52
0,66;12,38;9,32;209,49
0,67;12,31;10,05;210,44
0,68;12,23;10,77;211,36
0,69;12,15;11,46;212,25
0,70;12,06;12,13;213,10
0,71;11,97;12,78;213,92
0,72;11,88;13,39;214,70
0,73;11,79;13,97;215,44
0,74;11,70;14,51;216,13
0,75;11,60;15,01;216,78
0,76;11,51;15,48;217,39
0,77;11,41;15,90;217,95
0,78;11,31;16,29;218,47
0,79;11,22;16,63;218,95
0,80;11,12;16,92;219,40
0,81;11,02;17,17;219,82
0,82;10,93;17,37;220,20
0,83;10,83;17,52;220,57
0,84;10,74;17,63;220,91
0,85;10,65;17,69;221,25
0,86;10,56;17,70;221,57
0,87;10,47;17,66;221,89
0,88;10,39;17,58;222,22
0,89;10,31;17,45;222,55
0,90;10,23;17,27;222,90
0,91;10,15;17,05;223,27
0,92;10,08;16,78;223,66
0,93;10,01;16,47;224,09
0,94;9,94;16,11;224,54
0,95;9,87;15,72;225,04
0,96;9,81;15,28;225,58
